id,title,jenis,nomor,tahun,status,dicabut_oleh
D0200,"Peraturan Arsip Nasional Nomor 8 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,8,2018,Berlaku,
D0201,"Peraturan Badan Meteorologi,Klimatologi,dan Geofisika Nomor 1 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,1,2018,Berlaku,
D0202,"Peraturan Arsip Nasional Nomor 7 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,7,2018,Berlaku,
D0203,"Peraturan Lembaga Penerbangan dan Antariksa Nasional Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2018,Berlaku,
D0204,"Peraturan Arsip Nasional Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,10,2018,Berlaku,
D0205,"Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 20 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,20,2018,Berlaku,
D0206,"Peraturan Arsip Nasional Nomor 9 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,9,2018,Berlaku,
D0207,"Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 21 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,21,2018,Berlaku,
D0208,"Peraturan Komisi Pemberantasan Korupsi Nomor 07 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,07,2018,Berlaku,
D0209,"Peraturan Badan Standardisasi Nasional Nomor 7 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,7,2018,Berlaku,
D0210,"Peraturan Arsip Nasional Nomor 11 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,11,2018,Berlaku,
D0211,"Peraturan Badan Pengawas Pemilihan Umum Nomor 32 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,32,2018,Berlaku,
D0212,"Peraturan Badan Nasional Pengelola Perbatasan Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,10,2018,Berlaku,
D0213,"Peraturan Badan Nasional Pengelola Perbatasan Nomor 9 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,9,2018,Berlaku,
D0214,"Peraturan Badan Nasional Pengelola Perbatasan Nomor 8 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,8,2018,Berlaku,
D0215,"Peraturan Arsip Nasional Nomor 15 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,15,2018,Berlaku,
D0216,"Peraturan Badan Ekonomi Kreatif Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,10,2018,Berlaku,
D0217,"Peraturan Arsip Nasional Nomor 14 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,14,2018,Berlaku,
D0218,"Peraturan Daerah Kota Bogor Nomor 46 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,46,2018,Berlaku,
D0219,"Peraturan Daerah Kota Bogor Nomor 45 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,45,2018,Berlaku,
